                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.063,                 2.0491,                 1.1374,                0.80172,                0.80699,                0.90066,                 0.6446,                0.95618,                 2.6476,                 1.0707,              0.0005475,              0.0005475,              0.0005475
                      2,                 1.0359,                 1.4857,                 1.0978,                0.82877,                0.98152,                0.94883,                0.64733,                 1.0248,                 1.6888,                 1.0798,              0.0010922,              0.0010922,              0.0010922
                      3,                 1.0327,                 1.3007,                 1.1071,                0.73048,                 0.5295,                0.73157,                0.42136,                 1.2969,                 2.3223,                 1.2359,               0.001626,               0.001626,               0.001626
                      4,                 1.0287,                 1.1119,                 1.0993,                0.87995,                   0.61,                0.80013,                0.46357,                  1.307,                 1.6577,                 1.2026,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0106,                0.99991,                  1.084,                0.91944,                0.91837,                0.93599,                0.64805,                 1.0251,                0.99456,                 1.1014,               0.001601,               0.001601,               0.001601
                      6,                0.95771,                0.83865,                 1.0622,                0.65797,                0.84767,                0.84587,                0.61447,                0.85813,                 1.5321,                 1.0021,              0.0015845,              0.0015845,              0.0015845
                      7,                0.97714,                0.81566,                 1.0675,                 0.7139,                0.77083,                0.59752,                0.39855,                0.86775,                 2.2503,                 1.0215,               0.001568,               0.001568,               0.001568
                      8,                 0.9143,                0.74308,                 1.0378,                0.93376,                0.97959,                0.96453,                0.69745,                0.98285,                0.67535,                 1.0071,              0.0015515,              0.0015515,              0.0015515
                      9,                0.91744,                0.72485,                 1.0417,                0.65924,                0.62154,                0.74168,                0.49296,                 1.2131,                 1.3007,                 1.1762,               0.001535,               0.001535,               0.001535
                     10,                0.91385,                0.71422,                  1.035,                0.87339,                0.75336,                0.89457,                0.62523,                0.90196,                 0.9107,                0.99426,              0.0015185,              0.0015185,              0.0015185
                     11,                0.88438,                 0.6754,                 1.0315,                0.54174,                0.90795,                 0.7352,                0.51637,                 1.0852,                 1.3076,                 1.1203,               0.001502,               0.001502,               0.001502
                     12,                0.88223,                0.64582,                 1.0187,                0.91878,                0.97959,                0.94143,                0.67937,                0.86329,                 0.5474,                 1.0075,              0.0014855,              0.0014855,              0.0014855
